product_id,rating_date,rating
P00001,2025-06-19,5
P00001,2025-06-21,3
P00001,2025-06-29,3
P00001,2025-07-03,4
P00001,2025-07-10,3
P00001,2025-07-19,3
P00001,2025-07-22,4
P00001,2025-08-05,3
P00001,2025-08-07,2
P00001,2025-08-07,2
P00001,2025-08-13,3
P00001,2025-08-14,3
P00001,2025-08-22,3
P00001,2025-08-27,3
P00001,2025-08-31,2
P00001,2025-09-03,3
P00001,2025-09-06,4
P00001,2025-09-15,3
P00001,2025-09-21,3
P00001,2025-09-22,4
P00001,2025-10-09,3
P00001,2025-10-20,3
P00001,2025-10-20,3
P00001,2025-10-27,4
P00001,2025-10-27,2
P00001,2025-11-10,4
P00001,2025-11-26,3
P00001,2025-12-01,3
P00001,2025-12-11,3
P00002,2025-01-21,2
P00002,2025-01-27,2
P00002,2025-02-09,1
P00002,2025-03-18,3
P00002,2025-03-31,3
P00002,2025-04-14,4
P00002,2025-04-18,4
P00002,2025-05-05,3
P00002,2025-05-22,3
P00002,2025-06-21,1
P00002,2025-09-05,4
P00002,2025-09-11,3
P00002,2025-10-08,3
P00002,2025-10-23,4
P00002,2025-10-24,3
P00002,2025-11-08,4
P00002,2025-11-16,4
P00002,2025-12-28,3
P00003,2025-03-20,4
P00003,2025-05-09,3
P00003,2025-05-19,4
P00003,2025-06-13,4
P00003,2025-08-19,5
P00003,2025-08-30,3
P00003,2025-09-19,3
P00003,2025-09-24,3
P00003,2025-10-13,3
P00003,2025-11-04,4
P00003,2025-11-11,4
P00003,2025-12-12,4
P00004,2025-04-06,1
P00004,2025-04-09,3
P00004,2025-04-28,2
P00004,2025-05-10,3
P00004,2025-05-16,3
P00004,2025-05-29,3
P00004,2025-05-29,3
P00004,2025-06-03,4
P00004,2025-07-18,3
P00004,2025-07-21,3
P00004,2025-09-01,3
P00004,2025-10-07,5
P00004,2025-10-13,1
P00004,2025-10-19,3
P00004,2025-11-23,4
P00004,2025-11-30,4
P00005,2025-05-26,3
P00005,2025-05-26,3
P00005,2025-05-27,4
P00005,2025-05-27,4
P00005,2025-05-30,4
P00005,2025-05-31,3
P00005,2025-06-16,4
P00005,2025-06-22,3
P00005,2025-06-22,2
P00005,2025-06-30,4
P00005,2025-07-02,4
P00005,2025-07-06,3
P00005,2025-07-11,4
P00005,2025-07-17,4
P00005,2025-07-19,3
P00005,2025-07-21,4
P00005,2025-07-22,1
P00005,2025-07-23,3
P00005,2025-08-02,3
P00005,2025-08-24,3
P00005,2025-08-25,3
P00005,2025-08-26,2
P00005,2025-09-04,3
P00005,2025-09-07,3
P00005,2025-09-16,4
P00005,2025-09-25,4
P00005,2025-10-08,3
P00005,2025-10-17,4
P00005,2025-10-19,4
P00005,2025-10-22,3
P00005,2025-10-28,4
P00005,2025-11-04,3
P00005,2025-11-10,3
P00005,2025-11-12,4
P00005,2025-11-20,3
P00005,2025-11-21,4
P00005,2025-11-26,3
P00005,2025-11-30,3
P00005,2025-12-04,3
P00005,2025-12-07,3
P00005,2025-12-07,4
P00005,2025-12-07,4
P00005,2025-12-08,4
P00005,2025-12-15,4
P00005,2025-12-15,4
P00005,2025-12-22,3
P00005,2025-12-25,3
P00006,2025-01-25,5
P00006,2025-01-25,2
P00006,2025-01-25,3
P00006,2025-01-26,3
P00006,2025-01-26,5
P00006,2025-01-26,4
P00006,2025-01-26,3
P00006,2025-01-26,3
P00006,2025-01-26,3
P00006,2025-01-26,4
P00006,2025-01-27,3
P00006,2025-01-27,2
P00006,2025-01-28,3
P00006,2025-01-29,3
P00006,2025-01-29,3
P00006,2025-01-29,2
P00006,2025-01-29,2
P00006,2025-01-29,3
P00006,2025-01-29,2
P00006,2025-01-30,4
P00006,2025-01-30,3
P00006,2025-01-30,4
P00006,2025-01-30,2
P00006,2025-01-30,4
P00006,2025-02-01,3
P00006,2025-02-01,4
P00006,2025-02-01,3
P00006,2025-02-01,2
P00006,2025-02-06,3
P00006,2025-02-07,3
P00006,2025-02-07,5
P00006,2025-02-09,3
P00006,2025-02-10,2
P00006,2025-02-11,2
P00006,2025-02-16,3
P00006,2025-02-17,3
P00006,2025-02-18,4
P00006,2025-03-01,3
P00006,2025-03-04,3
P00006,2025-03-06,4
P00006,2025-03-07,4
P00006,2025-03-07,4
P00006,2025-03-08,3
P00006,2025-03-11,2
P00006,2025-03-15,4
P00006,2025-03-18,3
P00006,2025-03-19,3
P00006,2025-03-20,3
P00006,2025-03-20,3
P00006,2025-03-29,4
P00006,2025-04-02,4
P00006,2025-04-03,4
P00006,2025-04-06,4
P00006,2025-04-07,3
P00006,2025-04-07,3
P00006,2025-04-08,4
P00006,2025-04-09,3
P00006,2025-04-13,4
P00006,2025-04-15,3
P00006,2025-04-15,4
P00006,2025-04-16,4
P00006,2025-04-16,4
P00006,2025-04-19,5
P00006,2025-04-19,4
P00006,2025-04-22,3
P00006,2025-04-22,3
P00006,2025-04-23,3
P00006,2025-04-24,2
P00006,2025-04-25,2
P00006,2025-04-26,4
P00006,2025-04-26,4
P00006,2025-04-30,3
P00006,2025-05-05,4
P00006,2025-05-05,4
P00006,2025-05-08,5
P00006,2025-05-08,4
P00006,2025-05-13,4
P00006,2025-05-14,3
P00006,2025-05-18,4
P00006,2025-05-19,3
P00006,2025-05-20,3
P00006,2025-05-26,2
P00006,2025-05-26,4
P00006,2025-05-30,3
P00006,2025-05-31,3
P00006,2025-06-02,4
